,number,cluster
FGF23 (ENSG00000118972),284,0.0
FGF22 (ENSG00000070388),285,0.0
FGF21 (ENSG00000105550),286,0.0
RP1-293L8.2 (ENSG00000224506),287,0.0
RP1-193H18.2 (ENSG00000267194),288,0.0
FIBP (ENSG00000172500),289,0.0
FICD (ENSG00000198855),290,0.0
RNF7 (ENSG00000114125),291,0.0
FLII (ENSG00000177731),292,0.0
RNF20 (ENSG00000155827),293,0.0
RNF212B (ENSG00000215277),294,0.0
FLAD1 (ENSG00000160688),295,0.0
FKRP (ENSG00000181027),296,0.0
FKBPL (ENSG00000204315),297,0.0
RNF213 (ENSG00000173821),298,0.0
RNF214 (ENSG00000167257),299,0.0
RNF220 (ENSG00000187147),300,0.0
FKBP5 (ENSG00000096060),301,0.0
FKBP4 (ENSG00000004478),302,0.0
FKBP3 (ENSG00000100442),303,0.0
FKBP2 (ENSG00000173486),304,0.0
FKBP1C (ENSG00000198225),305,0.0
FKBP1B (ENSG00000119782),306,0.0
FKBP1A (ENSG00000088832),307,0.0
RNF26 (ENSG00000173456),308,0.0
RNF34 (ENSG00000170633),309,0.0
FKBP11 (ENSG00000134285),310,0.0
RNF38 (ENSG00000137075),311,0.0
FIZ1 (ENSG00000179943),312,0.0
FITM2 (ENSG00000197296),313,0.0
RNF39 (ENSG00000204618),314,0.0
FIS1 (ENSG00000214253),315,0.0
RNF4 (ENSG00000063978),316,0.0
RNF41 (ENSG00000181852),317,0.0
FILIP1 (ENSG00000118407),318,0.0
RNF44 (ENSG00000146083),319,0.0
RNF5 (ENSG00000204308),320,0.0
FGF2 (ENSG00000138685),321,0.0
RNF2 (ENSG00000121481),322,0.0
RP1-302G2.5 (ENSG00000262179),323,0.0
RP1-37E16.12 (ENSG00000100101),324,0.0
RP11-10A14.4 (ENSG00000253426),325,0.0
RP11-10C24.1 (ENSG00000271020),326,0.0
RP11-10C24.3 (ENSG00000271643),327,0.0
RP11-10K16.1 (ENSG00000245213),328,0.0
RP11-10L12.4 (ENSG00000246560),329,0.0
FCHO1 (ENSG00000130475),330,0.0
RP11-111M22.3 (ENSG00000255135),331,0.0
FCGBP (ENSG00000275395),332,0.0
FCF1 (ENSG00000119616),333,0.0
RP11-111M22.5 (ENSG00000271757),334,0.0
FBXW8 (ENSG00000174989),335,0.0
RP11-1143G9.4 (ENSG00000257764),336,0.0
RP11-1144P22.1 (ENSG00000254277),337,0.0
FDPS (ENSG00000160752),338,0.0
FBXW4 (ENSG00000107829),339,0.0
RP11-114F3.4 (ENSG00000277895),340,0.0
FBXW11 (ENSG00000072803),341,0.0
FBXO9 (ENSG00000112146),342,0.0
RP11-115C21.2 (ENSG00000246089),343,0.0
RP11-115D19.1 (ENSG00000251095),344,0.0
RP11-118F19.1 (ENSG00000270124),345,0.0
FBXO5 (ENSG00000112029),346,0.0
FBXO48 (ENSG00000204923),347,0.0
FBXO46 (ENSG00000177051),348,0.0
FBXO45 (ENSG00000174013),349,0.0
RP11-118K6.3 (ENSG00000273001),350,0.0
RP11-119H12.6 (ENSG00000251126),351,0.0
FBXO41 (ENSG00000163013),352,0.0
FBXW2 (ENSG00000119402),353,0.0
FDX1 (ENSG00000137714),354,0.0
FDX1L (ENSG00000267673),355,0.0
RP11-1094M14.11 (ENSG00000267321),356,0.0
FGF13-AS1 (ENSG00000226031),357,0.0
FGF13 (ENSG00000129682),358,0.0
FGF12 (ENSG00000114279),359,0.0
